A|codexpaiban-02.svg|164.97|184.9|17.515|17.549999999999997
B|codexpaiban_画板 1 副本.svg|137.92|164.18|231.04000000000002|27.909999999999997
C|codexpaiban_画板 1 副本 2.svg|137.96|173.15|431.02|23.424999999999997
D|codexpaiban-05.svg|135.29|158.84|632.355|30.58
E|codexpaiban-06.svg|165.22|157.26|817.39|31.370000000000005
F|codexpaiban-07.svg|132.52|172.97|1033.74|23.515
G|codexpaiban-08.svg|141.83|174.16|1229.085|22.92
H|codexpaiban-09.svg|135.71|158.3|1432.145|30.849999999999994
I|codexpaiban-10.svg|124.27|141.45|1637.865|39.275000000000006
J|codexpaiban-11.svg|111.99|151.82|1844.005|34.09
K|codexpaiban-12.svg|127.4|169.57|2036.3|25.215000000000003
L|codexpaiban-13.svg|133.05|148.24|2233.475|35.879999999999995
M|codexpaiban-14.svg|156.06|127.8|2421.97|46.1
N|codexpaiban-15.svg|157.12|141.8|21.439999999999998|259.1
O|codexpaiban-16.svg|116.09|125.95|241.95499999999998|267.025
P|codexpaiban-17.svg|145.08|138.39|427.46|260.805
Q|codexpaiban-18.svg|129.83|164.58|635.085|247.70999999999998
R|codexpaiban-19.svg|107.2|162.27|846.4|248.865
S|codexpaiban-20.svg|134.6|155.17|1032.7|252.41500000000002
T|codexpaiban-21.svg|149.3|136.12|1225.35|261.94
U|codexpaiban-22.svg|174.93|145.68|1412.535|257.15999999999997
V|codexpaiban-23.svg|165.68|169.56|1617.16|245.22
W|codexpaiban-24.svg|172.96|142.82|1813.52|258.59000000000003
X|codexpaiban-25.svg|149.38|179.55|2025.31|240.225
Y|codexpaiban-26.svg|145.13|158.79|2227.435|250.60500000000002
Z|codexpaiban-27.svg|158.21|160.32|2420.895|249.84
